Origem - Cidade,Destino - Cidade,Distance (GCD),Latitude_Origin,Longitude_Origin,Latitude_Destination,Longitude_Destination
Recife,Brasília,2025.870934,-8.058493,-34.884819,-10.333333,-53.2
Brasília,Uberlândia,1091.472404,-10.333333,-53.2,-18.918804,-48.276784
Uberlândia,Brasília,1091.472404,-18.918804,-48.276784,-10.333333,-53.2
Johannesburg,Brasília,8636.864269,-26.205,28.049722,-10.333333,-53.2
Brasília,Porto Alegre,2199.938237,-10.333333,-53.2,-30.0325,-51.230377
São Paulo,La Paz,2375.902988,-23.550651,-46.633382,-16.495545,-68.133623
São Paulo,Beirute,10765.383004,-23.550651,-46.633382,33.889226,35.502558
Beirute,São Paulo,10765.383004,33.889226,35.502558,-23.550651,-46.633382
Confins,Belém,2079.100514,-19.627875,-43.991231,-1.45056,-48.468245
Belém,Confins,2079.100514,-1.45056,-48.468245,-19.627875,-43.991231
Brasília,Natal,2043.09968,-10.333333,-53.2,-5.805398,-35.20809
Natal,Brasília,2043.09968,-5.805398,-35.20809,-10.333333,-53.2
Brasília,João Pessoa,2044.235964,-10.333333,-53.2,-7.121598,-34.882028
João Pessoa,Brasília,2044.235964,-7.121598,-34.882028,-10.333333,-53.2
Brasília,Campinas,1542.78442,-10.333333,-53.2,-22.905639,-47.059564
Campinas,Brasília,1542.78442,-22.905639,-47.059564,-10.333333,-53.2
Lisboa,Rio de Janeiro,7716.259488,38.707751,-9.136592,-22.911014,-43.209373
Rio de Janeiro,Lisboa,7716.259488,-22.911014,-43.209373,38.707751,-9.136592
Tóquio,Rio de Janeiro,18566.834623,35.67686,139.763895,-22.911014,-43.209373
Rio de Janeiro,Tóquio,18566.834623,-22.911014,-43.209373,35.67686,139.763895
Brasília,Cidade da Guatemala,4962.400397,-10.333333,-53.2,14.641614,-90.513284
Brasília,Hong Kong,18123.923585,-10.333333,-53.2,22.281833,114.158283
Brasília,Bauru,1403.267923,-10.333333,-53.2,-22.31738,-49.068978
Bauru,Brasília,1403.267923,-22.31738,-49.068978,-10.333333,-53.2
Moscou,Rio de Janeiro,11540.56405,55.625578,37.606392,-22.911014,-43.209373
Rio de Janeiro,Moscou,11540.56405,-22.911014,-43.209373,55.625578,37.606392
Bogotá,Vitória,14705.119929,4.653382,-74.083633,-36.59861,144.678005
Vitória,Bogotá,14705.119929,-36.59861,144.678005,4.653382,-74.083633
Katmandu,São Paulo,15205.757308,27.708317,85.320582,-23.550651,-46.633382
São Paulo,Katmandu,15205.757308,-23.550651,-46.633382,27.708317,85.320582
Guarulhos,Marseille,9120.410534,-23.467594,-46.52777,43.296399,5.377789
Goiânia,Brasília,824.645957,-16.680882,-49.253269,-10.333333,-53.2
Brasília,Goiânia,824.645957,-10.333333,-53.2,-16.680882,-49.253269
Salvador,Brasília,4766.665922,13.800038,-88.914068,-10.333333,-53.2
São Paulo,Aracaju,1731.49026,-23.550651,-46.633382,-10.916206,-37.077466
Aracaju,São Paulo,1731.49026,-10.916206,-37.077466,-23.550651,-46.633382
Londrina,Aracaju,2040.194327,-23.476127,-51.117901,-10.916206,-37.077466
Aracaju,Londrina,2040.194327,-10.916206,-37.077466,-23.476127,-51.117901
Aracaju,Belém,1640.024384,-10.916206,-37.077466,-1.45056,-48.468245
Belém,Aracaju,1640.024384,-1.45056,-48.468245,-10.916206,-37.077466
Aracaju,Chapecó,2424.540306,-10.916206,-37.077466,-27.092236,-52.616688
Chapecó,Aracaju,2424.540306,-27.092236,-52.616688,-10.916206,-37.077466
Aracaju,São Luís,1226.367314,-10.916206,-37.077466,-2.529526,-44.296394
São Luís,Aracaju,1226.367314,-2.529526,-44.296394,-10.916206,-37.077466
Aracaju,Salvador,6342.662542,-10.916206,-37.077466,13.800038,-88.914068
Salvador,Aracaju,6342.662542,13.800038,-88.914068,-10.916206,-37.077466
Londres,Maringá,9740.269295,51.507446,-0.127765,-23.425269,-51.938208
Maringá,Londres,9740.269295,-23.425269,-51.938208,51.507446,-0.127765
Brasília,Boa Vista,1680.386972,-10.333333,-53.2,2.820848,-60.671958
Londrina,São Paulo,457.30725,-23.476127,-51.117901,-23.550651,-46.633382
São Paulo,Londrina,457.30725,-23.550651,-46.633382,-23.476127,-51.117901
São Paulo,Lisboa,7947.883663,-23.550651,-46.633382,38.707751,-9.136592
Lisboa,São Paulo,7947.883663,38.707751,-9.136592,-23.550651,-46.633382
Lisboa,Natal,5631.711416,38.707751,-9.136592,-5.805398,-35.20809
Natal,Lisboa,5631.711416,-5.805398,-35.20809,38.707751,-9.136592
Marília,Porto Alegre,878.347476,-22.2172,-49.950006,-30.0325,-51.230377
Porto Alegre,Marília,878.347476,-30.0325,-51.230377,-22.2172,-49.950006
São Paulo,Salvador,6194.940445,-23.550651,-46.633382,13.800038,-88.914068
Salvador,São Paulo,6194.940445,13.800038,-88.914068,-23.550651,-46.633382
São Paulo,Recife,2129.593114,-23.550651,-46.633382,-8.058493,-34.884819
Recife,São Paulo,2129.593114,-8.058493,-34.884819,-23.550651,-46.633382
São Paulo,Goiânia,811.306876,-23.550651,-46.633382,-16.680882,-49.253269
Goiânia,São Paulo,811.306876,-16.680882,-49.253269,-23.550651,-46.633382
São Paulo,Paris,9400.458133,-23.550651,-46.633382,48.85889,2.320041
Porto Alegre,Iquique,2190.922729,-30.0325,-51.230377,-20.214066,-70.152465
Teresina,Cidade do México,6733.617258,-5.087461,-42.804957,19.320772,-99.151468
Rio de Janeiro,Buenos Aires,1965.709372,-22.911014,-43.209373,-34.609558,-58.38879
Recife,Montevidéu,3692.271782,-8.058493,-34.884819,-34.905892,-56.19131
Curitiba,Fayetteville - Carolina do Norte,7412.398993,-25.429596,-49.271272,35.052576,-78.878292
Rio de Janeiro,Santiago,5727.380545,-22.911014,-43.209373,9.869479,-83.798075
Jacarta,Brasília,17140.86359,-6.175405,106.827168,-10.333333,-53.2
Buenos Aires,Brasília,2750.358059,-34.609558,-58.38879,-10.333333,-53.2
Rio de Janeiro,Porto Alegre,1123.76133,-22.911014,-43.209373,-30.0325,-51.230377
Goiânia,Fortaleza,1850.526961,-16.680882,-49.253269,-3.793217,-38.528036
Fortaleza,Goiânia,1850.526961,-3.793217,-38.528036,-16.680882,-49.253269
Uberlândia,São Paulo,542.451229,-18.918804,-48.276784,-23.550651,-46.633382
São Paulo,Uberlândia,542.451229,-23.550651,-46.633382,-18.918804,-48.276784
Recife,Rio de Janeiro,1875.550535,-8.058493,-34.884819,-22.911014,-43.209373
Rio de Janeiro,Recife,1875.550535,-22.911014,-43.209373,-8.058493,-34.884819
Rio de Janeiro,Uberlândia,688.413494,-22.911014,-43.209373,-18.918804,-48.276784
Uberlândia,Rio de Janeiro,688.413494,-18.918804,-48.276784,-22.911014,-43.209373
Florianópolis,Brasília,1980.351773,-27.5973,-48.54961,-10.333333,-53.2
Brasília,Florianópolis,1980.351773,-10.333333,-53.2,-27.5973,-48.54961
Cáceres,Cuiabá,8001.765991,39.474518,-6.371676,-15.598669,-56.09913
Cuiabá,Buenos Aires,2126.257995,-15.598669,-56.09913,-34.609558,-58.38879
Brasília,Belém,1117.557604,-10.333333,-53.2,-1.45056,-48.468245
Belém,Brasília,1117.557604,-1.45056,-48.468245,-10.333333,-53.2
Porto Alegre,Recife,2978.3037,-30.0325,-51.230377,-8.058493,-34.884819
Recife,Porto Alegre,2978.3037,-8.058493,-34.884819,-30.0325,-51.230377
Brasília,Berlim,9398.446087,-10.333333,-53.2,52.517388,13.395131
Berlim,Brasília,9398.446087,52.517388,13.395131,-10.333333,-53.2
Brasília,Roma,8842.943253,-10.333333,-53.2,41.89332,12.482932
Fortaleza,Recife,622.272767,-3.793217,-38.528036,-8.058493,-34.884819
Recife,Fortaleza,622.272767,-8.058493,-34.884819,-3.793217,-38.528036
Campo Grande,Brasília,1136.634313,-20.464017,-54.616295,-10.333333,-53.2
Brasília,Campo Grande,1136.634313,-10.333333,-53.2,-20.464017,-54.616295
Salvador,Recife,6438.582429,13.800038,-88.914068,-8.058493,-34.884819
Brasília,Salvador,4766.665922,-10.333333,-53.2,13.800038,-88.914068
Manaus,Belém,1292.839003,-3.131633,-59.982504,-1.45056,-48.468245
Brasília,Manaus,1096.111317,-10.333333,-53.2,-3.131633,-59.982504
Lisboa,Palmas,6784.000658,38.707751,-9.136592,-10.183785,-48.333642
Palmas,Lisboa,6784.000658,-10.183785,-48.333642,38.707751,-9.136592
Brasília,Ribeirão Preto,1336.222602,-10.333333,-53.2,-21.177632,-47.810098
Ribeirão Preto,Brasília,1336.222602,-21.177632,-47.810098,-10.333333,-53.2
Brasília,Teresina,1284.999168,-10.333333,-53.2,-5.087461,-42.804957
Teresina,Brasília,1284.999168,-5.087461,-42.804957,-10.333333,-53.2
Recife,Salvador,6438.582429,-8.058493,-34.884819,13.800038,-88.914068
Curitiba,Fortaleza,2665.50654,-25.429596,-49.271272,-3.793217,-38.528036
Fortaleza,Curitiba,2665.50654,-3.793217,-38.528036,-25.429596,-49.271272
São Luís,Salvador,5243.014669,-2.529526,-44.296394,13.800038,-88.914068
Salvador,São Luís,5243.014669,13.800038,-88.914068,-2.529526,-44.296394
João Pessoa,Recife,104.178447,-7.121598,-34.882028,-8.058493,-34.884819
Campina Grande,Florianópolis,2629.468122,-7.224674,-35.877129,-27.5973,-48.54961
Florianópolis,Campina Grande,2629.468122,-27.5973,-48.54961,-7.224674,-35.877129
Salvador,Fortaleza,5891.299354,13.800038,-88.914068,-3.793217,-38.528036
Fortaleza,Salvador,5891.299354,-3.793217,-38.528036,13.800038,-88.914068
Salvador,Belo Horizonte,6184.752084,13.800038,-88.914068,-19.922732,-43.945095
Belo Horizonte,Salvador,6184.752084,-19.922732,-43.945095,13.800038,-88.914068
Salvador,Boa Vista,3333.256197,13.800038,-88.914068,2.820848,-60.671958
Boa Vista,Salvador,3333.256197,2.820848,-60.671958,13.800038,-88.914068
Salvador,Curitiba,6120.750033,13.800038,-88.914068,-25.429596,-49.271272
Curitiba,Salvador,6120.750033,-25.429596,-49.271272,13.800038,-88.914068
Brasília,Uberaba,1189.598688,-10.333333,-53.2,-19.750833,-47.936666
Uberaba,Brasília,1189.598688,-19.750833,-47.936666,-10.333333,-53.2
Maceió,Salvador,6420.149808,-9.647684,-35.733926,13.800038,-88.914068
Salvador,Maceió,6420.149808,13.800038,-88.914068,-9.647684,-35.733926
São Luís,Curitiba,2601.457102,-2.529526,-44.296394,-25.429596,-49.271272
Curitiba,São Luís,2601.457102,-25.429596,-49.271272,-2.529526,-44.296394
Porto Alegre,Buenos Aires,843.08469,-30.0325,-51.230377,-34.609558,-58.38879
Berlim,Curitiba,10571.497214,52.517388,13.395131,-25.429596,-49.271272
Curitiba,Berlim,10571.497214,-25.429596,-49.271272,52.517388,13.395131
Santarém,Oriximiná - Porto Trombetas,6634.887988,39.236364,-8.686708,-1.466592,-56.378979
Santarém,Brasília,7176.378372,39.236364,-8.686708,-10.333333,-53.2
Oriximiná - Porto Trombetas,Santarém,6634.887988,-1.466592,-56.378979,39.236364,-8.686708
Brasília,Santarém,7176.378372,-10.333333,-53.2,39.236364,-8.686708
Montes Claros,Vitória,14015.509405,-16.749573,-43.868727,-36.59861,144.678005
Vitória,Montes Claros,14015.509405,-36.59861,144.678005,-16.749573,-43.868727
Juiz de Fora,Brasília,1648.570632,-21.760953,-43.350113,-10.333333,-53.2
Teresina,Salvador,5503.963287,-5.087461,-42.804957,13.800038,-88.914068
Salvador,Teresina,5503.963287,13.800038,-88.914068,-5.087461,-42.804957
Brasília,Montes Claros,1234.994313,-10.333333,-53.2,-16.749573,-43.868727
Montes Claros,Brasília,1234.994313,-16.749573,-43.868727,-10.333333,-53.2
Brasília,Londrina,1478.011543,-10.333333,-53.2,-23.476127,-51.117901
Londrina,Brasília,1478.011543,-23.476127,-51.117901,-10.333333,-53.2
Brasília,Macapá,1177.575409,-10.333333,-53.2,0.040153,-51.056959
Macapá,Brasília,1177.575409,0.040153,-51.056959,-10.333333,-53.2
Fortaleza,Porto Alegre,3208.932183,-3.793217,-38.528036,-30.0325,-51.230377
Porto Alegre,Fortaleza,3208.932183,-30.0325,-51.230377,-3.793217,-38.528036
Recife,Aracaju,398.483487,-8.058493,-34.884819,-10.916206,-37.077466
Aracaju,Recife,398.483487,-10.916206,-37.077466,-8.058493,-34.884819
São Luís,Brasília,1311.210392,-2.529526,-44.296394,-10.333333,-53.2
Florianópolis,Boa Vista,3623.023048,-27.5973,-48.54961,2.820848,-60.671958
Boa Vista,Florianópolis,3623.023048,2.820848,-60.671958,-27.5973,-48.54961
Montes Claros,São Paulo,809.356288,-16.749573,-43.868727,-23.550651,-46.633382
São Paulo,Montes Claros,809.356288,-23.550651,-46.633382,-16.749573,-43.868727
Montes Claros,Porto Alegre,1655.865536,-16.749573,-43.868727,-30.0325,-51.230377
Porto Alegre,Montes Claros,1655.865536,-30.0325,-51.230377,-16.749573,-43.868727
Belém,Manaus,1292.839003,-1.45056,-48.468245,-3.131633,-59.982504
Recife,Ribeirão Preto,2012.801722,-8.058493,-34.884819,-21.177632,-47.810098
Ribeirão Preto,Recife,2012.801722,-21.177632,-47.810098,-8.058493,-34.884819
Montes Claros,Foz do Iguaçu,1477.877375,-16.749573,-43.868727,-25.530402,-54.583069
Foz do Iguaçu,Montes Claros,1477.877375,-25.530402,-54.583069,-16.749573,-43.868727
Macapá,Foz do Iguaçu,2868.427787,0.040153,-51.056959,-25.530402,-54.583069
Foz do Iguaçu,Macapá,2868.427787,-25.530402,-54.583069,0.040153,-51.056959
Campo Grande,Montes Claros,1205.15907,-20.464017,-54.616295,-16.749573,-43.868727
Montes Claros,Campo Grande,1205.15907,-16.749573,-43.868727,-20.464017,-54.616295
Cuiabá,Manaus,1449.997887,-15.598669,-56.09913,-3.131633,-59.982504
Manaus,Cuiabá,1449.997887,-3.131633,-59.982504,-15.598669,-56.09913
Aracaju,Mérida,6393.553595,-10.916206,-37.077466,38.954306,-6.350483
Mérida,Aracaju,6393.553595,38.954306,-6.350483,-10.916206,-37.077466
Brasília,Aracaju,1762.992955,-10.333333,-53.2,-10.916206,-37.077466
Aracaju,Brasília,1762.992955,-10.916206,-37.077466,-10.333333,-53.2
Rio de Janeiro,Presidente Prudente,844.568812,-22.911014,-43.209373,-22.122517,-51.388253
Presidente Prudente,Rio de Janeiro,844.568812,-22.122517,-51.388253,-22.911014,-43.209373
Madri,Washington,12558.547012,25.049132,81.377551,38.895098,-77.036385
Washington,Madri,12558.547012,38.895098,-77.036385,25.049132,81.377551
São Paulo,Macapá,2666.316113,-23.550651,-46.633382,0.040153,-51.056959
Macapá,São Paulo,2666.316113,0.040153,-51.056959,-23.550651,-46.633382
Curitiba,Recife,2460.417911,-25.429596,-49.271272,-8.058493,-34.884819
Recife,Curitiba,2460.417911,-8.058493,-34.884819,-25.429596,-49.271272
Campo Grande,Cuiabá,563.245484,-20.464017,-54.616295,-15.598669,-56.09913
Cuiabá,Campo Grande,563.245484,-15.598669,-56.09913,-20.464017,-54.616295
Montes Claros,Cuiabá,1312.165893,-16.749573,-43.868727,-15.598669,-56.09913
Cuiabá,Montes Claros,1312.165893,-15.598669,-56.09913,-16.749573,-43.868727
Curitiba,Madri,15080.836564,-25.429596,-49.271272,25.049132,81.377551
Madri,Curitiba,15080.836564,25.049132,81.377551,-25.429596,-49.271272
Porto Alegre,Curitiba,546.902148,-30.0325,-51.230377,-25.429596,-49.271272
Curitiba,Porto Alegre,546.902148,-25.429596,-49.271272,-30.0325,-51.230377
Manaus,Eirunepé,1162.873269,-3.131633,-59.982504,-6.656765,-69.866161
Manaus,Vilhena,1068.204187,-3.131633,-59.982504,-12.736854,-60.146556
Vilhena,Manaus,1068.204187,-12.736854,-60.146556,-3.131633,-59.982504
Eirunepé,Manaus,1162.873269,-6.656765,-69.866161,-3.131633,-59.982504
Macapá,Curitiba,2838.597458,0.040153,-51.056959,-25.429596,-49.271272
Curitiba,Macapá,2838.597458,-25.429596,-49.271272,0.040153,-51.056959
Santarém,Manaus,7040.600842,39.236364,-8.686708,-3.131633,-59.982504
Manaus,Santarém,7040.600842,-3.131633,-59.982504,39.236364,-8.686708
Aracaju,Montes Claros,978.676875,-10.916206,-37.077466,-16.749573,-43.868727
Montes Claros,Aracaju,978.676875,-16.749573,-43.868727,-10.916206,-37.077466
Campina Grande,Vitória,15141.816007,-7.224674,-35.877129,-36.59861,144.678005
Vitória,Campina Grande,15141.816007,-36.59861,144.678005,-7.224674,-35.877129
Salvador,Goiânia,5518.910083,13.800038,-88.914068,-16.680882,-49.253269
Goiânia,Salvador,5518.910083,-16.680882,-49.253269,13.800038,-88.914068
Macapá,Belo Horizonte,2351.035851,0.040153,-51.056959,-19.922732,-43.945095
Belo Horizonte,Macapá,2351.035851,-19.922732,-43.945095,0.040153,-51.056959
Campina Grande,Rio de Janeiro,1912.433164,-7.224674,-35.877129,-22.911014,-43.209373
Rio de Janeiro,Campina Grande,1912.433164,-22.911014,-43.209373,-7.224674,-35.877129
São Paulo,Porto Príncipe,5449.174421,-23.550651,-46.633382,18.547327,-72.339593
Montes Claros,Rio de Janeiro,688.579069,-16.749573,-43.868727,-22.911014,-43.209373
Rio de Janeiro,Montes Claros,688.579069,-22.911014,-43.209373,-16.749573,-43.868727
São Luís,Recife,1209.530487,-2.529526,-44.296394,-8.058493,-34.884819
Recife,São Luís,1209.530487,-8.058493,-34.884819,-2.529526,-44.296394
Belém,Salvador,4768.070495,-1.45056,-48.468245,13.800038,-88.914068
Salvador,Belém,4768.070495,13.800038,-88.914068,-1.45056,-48.468245
Alta Floresta,Cuiabá,637.017295,-9.869855,-56.083499,-15.598669,-56.09913
Cuiabá,Alta Floresta,637.017295,-15.598669,-56.09913,-9.869855,-56.083499
Rio de Janeiro,Fortaleza,2184.662017,-22.911014,-43.209373,-3.793217,-38.528036
Fortaleza,Rio de Janeiro,2184.662017,-3.793217,-38.528036,-22.911014,-43.209373
Rio de Janeiro,Curitiba,675.609992,-22.911014,-43.209373,-25.429596,-49.271272
Curitiba,Rio de Janeiro,675.609992,-25.429596,-49.271272,-22.911014,-43.209373
Jaguaruna,Brasília,2079.733452,-28.623736,-49.028866,-10.333333,-53.2
Brasília,Jaguaruna,2079.733452,-10.333333,-53.2,-28.623736,-49.028866
Curitiba,Guarulhos,353.133951,-25.429596,-49.271272,-23.467594,-46.52777
Guarulhos,Curitiba,353.133951,-23.467594,-46.52777,-25.429596,-49.271272
Curitiba,Campinas,359.298338,-25.429596,-49.271272,-22.905639,-47.059564
Campinas,Curitiba,359.298338,-22.905639,-47.059564,-25.429596,-49.271272
João Pessoa,Salvador,6400.455099,-7.121598,-34.882028,13.800038,-88.914068
Salvador,João Pessoa,6400.455099,13.800038,-88.914068,-7.121598,-34.882028
Brasília,Los Angeles,8440.647621,-10.333333,-53.2,34.053691,-118.242766
Curitiba,São Paulo,338.955661,-25.429596,-49.271272,-23.550651,-46.633382
São Paulo,Curitiba,338.955661,-23.550651,-46.633382,-25.429596,-49.271272
Curitiba,Pato Branco,351.710749,-25.429596,-49.271272,-26.229598,-52.671247
Pato Branco,Curitiba,351.710749,-26.229598,-52.671247,-25.429596,-49.271272
Lisboa,Brasília,7108.702608,38.707751,-9.136592,-10.333333,-53.2
Brasília,Lisboa,7108.702608,-10.333333,-53.2,38.707751,-9.136592
Quebec,Curitiba,8935.680271,52.476089,-71.825867,-25.429596,-49.271272
Curitiba,Quebec,8935.680271,-25.429596,-49.271272,52.476089,-71.825867
Porto Alegre,São Paulo,852.798127,-30.0325,-51.230377,-23.550651,-46.633382
São Paulo,Porto Alegre,852.798127,-23.550651,-46.633382,-30.0325,-51.230377
Curitiba,Belo Horizonte,820.483744,-25.429596,-49.271272,-19.922732,-43.945095
Belo Horizonte,Curitiba,820.483744,-19.922732,-43.945095,-25.429596,-49.271272
Rio de Janeiro,Bruxelas,9429.771152,-22.911014,-43.209373,50.846737,4.352493
Confins,Brasília,1429.62758,-19.627875,-43.991231,-10.333333,-53.2
Brasília,Confins,1429.62758,-10.333333,-53.2,-19.627875,-43.991231
Brasília,Manama,11878.785082,-10.333333,-53.2,26.223504,50.582244
Bagé,Londrina,921.805738,-31.331426,-54.106281,-23.476127,-51.117901
Londrina,Bagé,921.805738,-23.476127,-51.117901,-31.331426,-54.106281
São Paulo,Boa Vista,3303.069775,-23.550651,-46.633382,2.820848,-60.671958
São Paulo,Cotonou,6276.795606,-23.550651,-46.633382,6.367695,2.425251
Cotonou,São Paulo,6276.795606,6.367695,2.425251,-23.550651,-46.633382
Boa Vista,São Paulo,3303.069775,2.820848,-60.671958,-23.550651,-46.633382
Rio de Janeiro,Montevidéu,1833.836228,-22.911014,-43.209373,-34.905892,-56.19131
Curitiba,Belém,2667.736899,-25.429596,-49.271272,-1.45056,-48.468245
Belém,Curitiba,2667.736899,-1.45056,-48.468245,-25.429596,-49.271272
Vitória,São Paulo,13222.272545,-36.59861,144.678005,-23.550651,-46.633382
São Paulo,Vitória,13222.272545,-23.550651,-46.633382,-36.59861,144.678005
Porto Alegre,Natal,3173.708929,-30.0325,-51.230377,-5.805398,-35.20809
Natal,Porto Alegre,3173.708929,-5.805398,-35.20809,-30.0325,-51.230377
Cordoba,Curitiba,8432.24219,37.884581,-4.776014,-25.429596,-49.271272
Curitiba,Cordoba,8432.24219,-25.429596,-49.271272,37.884581,-4.776014
Porto Alegre,Vitória,12422.416619,-30.0325,-51.230377,-36.59861,144.678005
